,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,高新,21509.2,240.25,104.53
1,成华,16842.0,141.14,80.83
2,金牛,15688.2,149.62,91.19
3,郫都,11660.1,115.0,96.61
4,武侯,17373.6,180.86,98.05
5,双流,13301.1,140.32,104.21
6,温江,12018.4,142.57,114.75
7,青羊,18662.9,177.1,89.52
8,锦江,21208.3,194.01,86.7
9,天府新区,17575.5,264.84,138.15
10,新都,11561.0,123.93,102.76
11,龙泉驿,13273.0,138.68,99.3
12,都江堰,8952.8,100.48,110.21
13,高新西,12674.5,118.94,81.97
14,青白江,7894.7,75.85,96.64
15,简阳,10241.5,111.58,110.13
16,彭州,7388.1,76.77,107.68
17,新津,10522.3,174.47,152.03
18,天府新区南区,11703.9,180.82,137.66
