,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,虎门镇,19647.9,254.98,125.31
1,南城区,22366.2,246.37,105.02
2,东城区,19019.1,223.55,110.8
3,凤岗镇,25459.0,289.15,110.12
4,厚街镇,16094.4,158.3,91.07
5,寮步镇,20474.2,220.78,105.4
6,长安镇,24593.0,246.88,100.52
7,松山湖,29937.6,508.97,162.83
8,樟木头镇,14924.1,171.47,102.52
9,塘厦镇,26105.4,425.24,143.5
10,大朗镇,17524.2,202.27,108.19
11,万江区,19248.0,194.81,97.56
12,大岭山镇,20227.6,265.83,125.83
13,道滘镇,15925.2,179.86,110.7
14,黄江镇,17852.5,243.48,126.53
15,莞城区,17354.5,183.77,103.11
16,常平镇,13074.5,118.23,88.23
17,沙田镇,15813.7,198.17,121.33
18,清溪镇,16120.6,178.55,107.65
