area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]","(500, 600]"
万江区,83.0,149.0,72.0,29.0,9.0,1.0
东城区,239.0,354.0,192.0,94.0,51.0,19.0
凤岗镇,16.0,241.0,508.0,97.0,28.0,6.0
南城区,372.0,666.0,606.0,308.0,101.0,52.0
厚街镇,352.0,290.0,119.0,22.0,4.0,7.0
塘厦镇,17.0,140.0,130.0,40.0,21.0,20.0
大岭山镇,29.0,86.0,118.0,34.0,3.0,3.0
大朗镇,75.0,266.0,77.0,13.0,5.0,6.0
寮步镇,33.0,297.0,178.0,52.0,23.0,11.0
常平镇,69.0,84.0,7.0,1.0,0.0,0.0
松山湖,3.0,62.0,131.0,74.0,72.0,64.0
樟木头镇,197.0,214.0,65.0,14.0,7.0,6.0
沙田镇,10.0,99.0,31.0,2.0,2.0,4.0
清溪镇,21.0,65.0,17.0,3.0,1.0,3.0
莞城区,58.0,58.0,31.0,14.0,3.0,2.0
虎门镇,414.0,657.0,711.0,192.0,67.0,34.0
道滘镇,12.0,163.0,11.0,5.0,4.0,3.0
长安镇,79.0,124.0,218.0,83.0,36.0,17.0
黄江镇,30.0,62.0,52.0,18.0,2.0,3.0
