area1,"(0, 10000]","(10000, 20000]","(20000, 30000]","(30000, 40000]"
万江区,10.0,191.0,141.0,7.0
东城区,37.0,597.0,321.0,33.0
凤岗镇,1.0,128.0,689.0,112.0
南城区,12.0,773.0,1208.0,181.0
厚街镇,27.0,682.0,95.0,5.0
塘厦镇,10.0,127.0,209.0,52.0
大岭山镇,0.0,148.0,139.0,2.0
大朗镇,18.0,381.0,48.0,4.0
寮步镇,5.0,353.0,225.0,13.0
常平镇,36.0,121.0,4.0,0.0
松山湖,0.0,55.0,235.0,211.0
樟木头镇,111.0,350.0,49.0,5.0
沙田镇,1.0,143.0,7.0,1.0
清溪镇,4.0,94.0,13.0,1.0
莞城区,6.0,121.0,41.0,3.0
虎门镇,62.0,1141.0,931.0,50.0
道滘镇,3.0,192.0,4.0,2.0
长安镇,0.0,113.0,375.0,71.0
黄江镇,3.0,120.0,45.0,10.0
