area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]","(500, 600]","(600, 700]","(700, 800]"
从化,116.0,531.0,167.0,37.0,15.0,10.0,0.0,0.0
南沙,55.0,168.0,235.0,71.0,15.0,4.0,6.0,0.0
增城,227.0,1548.0,1606.0,401.0,85.0,45.0,30.0,21.0
天河,59.0,515.0,1343.0,1481.0,883.0,634.0,484.0,270.0
海珠,71.0,916.0,1382.0,1035.0,715.0,372.0,219.0,91.0
番禺,297.0,2308.0,3196.0,1580.0,734.0,270.0,137.0,83.0
白云,143.0,1184.0,1558.0,898.0,416.0,179.0,80.0,50.0
花都,343.0,1198.0,530.0,134.0,31.0,12.0,17.0,7.0
荔湾,63.0,494.0,608.0,498.0,286.0,112.0,56.0,37.0
越秀,52.0,393.0,557.0,537.0,425.0,293.0,142.0,111.0
黄埔,114.0,594.0,841.0,431.0,149.0,80.0,33.0,14.0
