area1,"(10000, 20000]","(20000, 30000]","(30000, 40000]","(40000, 50000]","(50000, 60000]","(60000, 70000]"
上城,2.0,28.0,149.0,564.0,367.0,117.0
下城,34.0,369.0,680.0,781.0,251.0,67.0
临安,417.0,51.0,10.0,3.0,2.0,1.0
余杭,1825.0,5106.0,1516.0,309.0,49.0,17.0
富阳,96.0,82.0,11.0,2.0,0.0,0.0
拱墅,42.0,297.0,982.0,736.0,355.0,75.0
江干,77.0,810.0,1337.0,1062.0,233.0,103.0
滨江,34.0,210.0,764.0,744.0,269.0,111.0
萧山,390.0,1608.0,812.0,305.0,77.0,23.0
西湖,39.0,456.0,1063.0,1186.0,630.0,318.0
钱塘新区,468.0,1168.0,454.0,116.0,10.0,0.0
