area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]","(500, 600]","(600, 700]","(700, 800]"
六合,122.0,462.0,64.0,1.0,2.0,0.0,0.0,0.0
建邺,21.0,335.0,388.0,441.0,551.0,472.0,350.0,262.0
栖霞,82.0,575.0,831.0,718.0,278.0,124.0,70.0,47.0
江宁,379.0,3573.0,4252.0,2119.0,753.0,283.0,144.0,86.0
浦口,121.0,1827.0,3233.0,837.0,155.0,51.0,32.0,18.0
溧水,154.0,370.0,19.0,11.0,7.0,5.0,2.0,0.0
玄武,19.0,364.0,423.0,398.0,287.0,130.0,56.0,39.0
秦淮,27.0,786.0,738.0,630.0,353.0,200.0,105.0,58.0
雨花台,79.0,607.0,711.0,410.0,242.0,121.0,33.0,16.0
鼓楼,41.0,755.0,553.0,512.0,492.0,415.0,337.0,221.0
