area1,"(10000, 20000]","(20000, 30000]","(30000, 40000]","(40000, 50000]","(50000, 60000]","(60000, 70000]","(70000, 80000]","(80000, 90000]","(90000, 100000]"
嘉定,132.0,927.0,1115.0,686.0,143.0,13.0,3.0,0.0,2.0
奉贤,399.0,895.0,212.0,31.0,5.0,0.0,0.0,0.0,0.0
宝山,44.0,410.0,1422.0,1636.0,651.0,124.0,12.0,1.0,3.0
徐汇,0.0,5.0,8.0,266.0,637.0,668.0,652.0,392.0,250.0
普陀,0.0,9.0,238.0,889.0,1105.0,625.0,364.0,180.0,72.0
杨浦,0.0,10.0,27.0,591.0,1093.0,814.0,416.0,202.0,65.0
松江,61.0,658.0,1685.0,798.0,164.0,29.0,5.0,9.0,3.0
浦东,167.0,872.0,1537.0,2557.0,2531.0,1370.0,1053.0,813.0,536.0
虹口,0.0,1.0,7.0,261.0,626.0,576.0,253.0,123.0,79.0
金山,57.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
长宁,0.0,0.0,9.0,109.0,470.0,730.0,468.0,226.0,141.0
闵行,8.0,254.0,1207.0,1521.0,1313.0,819.0,280.0,70.0,17.0
闸北,0.0,4.0,34.0,544.0,523.0,467.0,240.0,156.0,72.0
青浦,65.0,666.0,512.0,217.0,147.0,78.0,32.0,16.0,4.0
静安,0.0,1.0,8.0,10.0,24.0,69.0,217.0,251.0,197.0
黄浦,0.0,2.0,5.0,9.0,20.0,106.0,396.0,467.0,258.0
