area1,"(100, 200]","(200, 300]","(300, 400]","(400, 500]","(500, 600]","(600, 700]","(700, 800]","(800, 900]","(900, 1000]","(1000, 1100]","(1100, 1200]"
光明区,14.0,13.0,45.0,21.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0
南山区,187.0,437.0,424.0,732.0,860.0,730.0,515.0,422.0,277.0,174.0,195.0
坪山区,62.0,172.0,181.0,65.0,10.0,3.0,6.0,2.0,0.0,0.0,0.0
大鹏新区,49.0,78.0,39.0,5.0,5.0,2.0,1.0,1.0,2.0,3.0,2.0
宝安区,161.0,407.0,709.0,1008.0,645.0,372.0,231.0,149.0,111.0,56.0,63.0
盐田区,197.0,201.0,182.0,154.0,46.0,34.0,15.0,16.0,11.0,5.0,15.0
福田区,427.0,829.0,657.0,981.0,883.0,679.0,443.0,331.0,242.0,144.0,166.0
罗湖区,1078.0,1463.0,1381.0,1103.0,501.0,251.0,140.0,104.0,72.0,60.0,47.0
龙华区,204.0,324.0,838.0,809.0,637.0,352.0,195.0,117.0,79.0,46.0,48.0
龙岗区,1237.0,3000.0,3642.0,1953.0,951.0,485.0,235.0,156.0,101.0,60.0,65.0
