,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,南开,35141.4,272.5,76.05
1,河东,28242.5,234.99,80.3
2,河西,37567.9,263.84,71.62
3,西青,24636.7,261.66,102.34
4,武清,16481.1,185.16,112.2
5,滨海新区,12728.3,128.68,94.34
6,河北,27433.3,204.07,72.46
7,东丽,18882.9,184.18,97.35
8,北辰,20151.5,174.81,86.83
9,津南,19372.8,201.72,104.13
10,塘沽,17097.6,155.51,91.45
11,和平,58489.2,397.37,73.32
12,红桥,28282.3,223.02,76.8
13,宝坻,12003.2,125.21,104.36
14,蓟州,13283.7,139.92,102.96
15,开发区,24892.3,289.77,113.96
16,海河教育园区,20603.3,218.17,105.12
17,静海,12434.0,132.89,105.12
