area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]","(500, 600]"
东丽,290.0,1128.0,415.0,122.0,36.0,13.0
北辰,200.0,1128.0,327.0,57.0,27.0,5.0
南开,181.0,1476.0,743.0,381.0,259.0,132.0
和平,9.0,209.0,421.0,255.0,128.0,92.0
塘沽,279.0,830.0,172.0,41.0,16.0,1.0
宝坻,335.0,872.0,39.0,4.0,3.0,0.0
开发区,13.0,93.0,139.0,59.0,31.0,16.0
武清,382.0,1401.0,549.0,174.0,56.0,13.0
河东,325.0,1358.0,691.0,384.0,127.0,50.0
河北,270.0,1067.0,449.0,203.0,48.0,28.0
河西,108.0,1248.0,726.0,358.0,213.0,98.0
津南,204.0,852.0,362.0,119.0,51.0,21.0
海河教育园区,3.0,63.0,63.0,9.0,4.0,1.0
滨海新区,1128.0,851.0,265.0,62.0,28.0,3.0
红桥,104.0,584.0,332.0,157.0,64.0,25.0
蓟州,216.0,444.0,41.0,12.0,11.0,6.0
西青,151.0,1048.0,929.0,293.0,124.0,69.0
静海,52.0,79.0,7.0,3.0,3.0,0.0
