area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]"
东湖高新,701.0,4068.0,2718.0,696.0,180.0
东西湖,388.0,3698.0,823.0,175.0,77.0
新洲,690.0,130.0,1.0,1.0,0.0
武昌,538.0,2144.0,1835.0,935.0,386.0
汉阳,721.0,3183.0,1370.0,312.0,126.0
江夏,390.0,2507.0,287.0,112.0,86.0
江岸,986.0,4184.0,2271.0,593.0,289.0
江汉,655.0,2547.0,1814.0,607.0,170.0
沌口开发区,666.0,1348.0,412.0,62.0,17.0
洪山,844.0,4973.0,3578.0,1125.0,423.0
硚口,586.0,1814.0,736.0,249.0,83.0
蔡甸,878.0,1282.0,94.0,130.0,46.0
青山,89.0,415.0,196.0,39.0,6.0
黄陂,1081.0,3026.0,60.0,28.0,13.0
